"id","name","artists","artist_ids","energy","loudness","speechiness","valence","tempo","duration_ms"
"5m1lcEp7ulj396kky9KgJG","Llora Mi Corazon","['Diegodiego']","['5gwIzA2VHurqx0kbfHVg4F']",0.72,-4.64,0.31,0.92,48.24,209813
"04sPlTKMjNxIFKw2yhWRau","Just A Dream","['William Clarke']","['2eECVTTCHnDwsBirJPiDke']",0.72,-7.4,0.1,0.94,50.31,208533
"4XbI4sXB7Yv1cxHmzfhKCI","A Man Likes to Feel","['Mighty Sparrow']","['4MFEUloFYnm8U4OAGWQH2w']",0.72,-5.84,0.21,0.93,52.65,213493
"6rLe1aSYJnUaPy7qRAmDIg","Island Time","['Ted Nicholas']","['0xfGFyQPxlGlUo6CzrKfsu']",0.29,-17.7,0.12,0.96,57.32,390000
"65142v0viwlSrAIblk6ClG","Negro Y Azul: The Ballad of Heisenberg (From ""Breaking Bad"" TV Series)","['Los Cuates de Sinaloa']","['6qrWzQSK00anTGkydomNW7']",0.68,-6.89,0.05,0.96,59.19,205587
"4tLj3oquBXH8U0YCPAVJhM","Juega - Acapella","['Nach']","['66ArjpKRgw8vYBf9yhktto']",0.7,-8.81,0.6,0.97,59.95,252040
"4Lvbn2Essot7LlBptoJ7ZU","The Chuil Aodha Jig - The Black Rogue - Out on the Ocean","['Joey Oliver', 'Jon Boden', 'John Spiers', 'Ian Giles']","['50ErB5IfWWPT8RqYt3gXvI', '3BApgOPiuES6zVJ78mKNGo', '58aFmsADk38R6QMiI2tVxM', '7axBkewBnoeeEX6UDo5G29']",0.36,-18.54,0.11,0.96,63.16,402107
"4TZ1jPaZoztXUVuYa657Rd","Viavy raozy","['David Lindley', 'Henry Kaiser']","['1l3MU8zV0Rf8qyB7dae38J', '3JgykWJiK9U8B4gfoWdDMb']",0.44,-16.71,0.18,0.95,64.52,226600
"59JiJvmFwmSe5ho2OHGk2y","Primavera","['Various Artists']","['0LyfQWJT6nXafLPZqxe9Of']",0.46,-11.86,0.05,0.97,64.7,242800
"3apznAUi7K1xgYvLwrbTYh","She's With Me (ft. Brook Yung & Sene)","['Us3']","['4LtIfuFeAamus9OOItuWDD']",0.94,-4.67,0.18,0.96,64.81,251880
"5rpwSBEmPNPo1szrFI0BSn","EL cotorro Pico Chueco (Siglo XX )","['Juan Y Compania']","['3PWZo9LE95LIw0oElCxjON']",0.79,-6.4,0.06,0.9,66.38,208480
"2r3Z0UMOlgb69tMnddKw4r","Don't Step","['Zoology']","['5j4whUIcGDB4JlCad7uHb3']",0.65,-9.81,0.3,0.94,67.19,238000
"0u4nC5T5L0ZwcO6TFQO9wi","Revolution Pon Di Wicked","['Turbulence']","['071vBgcrWSy5w3RmhMZpOb']",0.68,-5.55,0.21,0.9,67.49,288813
"1QYJ01JZtnQ2naTSDad0li","Deus Vai Me Guiar","['Karlla Naynna']","['2ag8WmKNLXFUnI7koFuFOh']",0.53,-3.63,0.1,0.96,67.56,200992
"5PTSpvBMaPN9zVnMWqHaYv","Kounfeko","['Aminata Kamissoko']","['1nNRRb24y7SkXUn0dbi8Bi']",0.48,-9.45,0.06,0.93,67.6,228160
"2OfqobHWdqS2A8G72UyizF","I'm Hi (feat. Styles P)","['T-Pain', 'Styles P']","['3aQeKQSyrW4qWr35idm0cy', '2x8KDZdSONA3872CnhaAlX']",0.42,-8.65,0.29,0.9,67.92,272053
"6vhUQVcMT1EeYnkwpfJJgi","K-Oscillation","['Andy Sonar']","['6mwJUlCwMX165wMqPJdmLA']",0.68,-5.07,0.16,0.96,68.03,227647
"0LXBShYvlKddYpzzZxL40p","Pass Me That (Vaporizer)","['Mykal Kilgore']","['0YO1x9lk7UJdHjR16lC23F']",0.6,-5.29,0.05,0.96,68.09,257754
"6WKSW7USXmCMKwCfiApgG2","Been Gone Too Long","['Roy Carrier']","['56CNXWnEpBKEbtkEmCQ5xY']",0.48,-7.54,0.05,0.96,68.38,206453
"5L424b8doSniRDJjxDeUyf","Sink Into the Sand","['Dj Iglu and Hartly Dark']","['2hQpfWv2z8HQn4JzAbFGQQ']",0.55,-9.57,0.14,0.97,69.71,249760
"3CQkgLwhzJizZdUlWczUWi","Listen","['FFH']","['4xvNx8d6ZMhOZXUGUBmJby']",0.35,-14.38,0.38,0.92,69.99,218227
"4mGqN2o6FwL5NeH4t2gBeT","Lo Encontrarás en la Calle","['Verdaderos Kreyentes']","['6Y5TWF5yg6uoN177cznPKB']",0.69,-7.08,0.34,0.94,70.08,247387
"10fnyNDlZ2W4StzCeOOuOV","Macario Leyva","['La Victoria De Mexico']","['5H3OgLU1hxDDEqfmr4z5l0']",0.54,-8.05,0.1,0.98,70.39,226439
"2WFCn6TAWXQ3WCqTJeTbJk","How I Wish She Was Mine","['Jake La Botz']","['7pHtidPDRlqg71cTcwjWQX']",0.62,-6.72,0.06,0.92,71.3,209340
"2Ct9OP4JZIVFRttY8Smr2z","El Porvenir","['Various Artists']","['0LyfQWJT6nXafLPZqxe9Of']",0.68,-4.35,0.18,0.98,71.72,243160
"4pYCt9GB0LUdHrpnFdDqSf","Osama Say","['Mighty Pawol']","['4rr1L2tgS4iQrvgtgJGbry']",0.83,-9.34,0.31,0.96,71.95,235640
"0y09khJTG5kA3KJMJV5Ebz","Quejoso","['El Gran Combo De Puerto Rico']","['6nnspeopmJAG07xOxHmqTu']",0.65,-4.98,0.06,0.91,71.98,265520
"79z200uPQGL39Ms0nqzF2f","Bounce With Me (feat. Xscape)","['Bow Wow', 'Xscape']","['7352aRY2mqSxBZwzUb6LmA', '5z2cHsOmmmWcAPNG1oEhw0']",0.64,-8.63,0.15,0.94,71.99,203200
"4eEwSz9LLyrRMaapJpKMFi","Bounce With Me","['Bow Wow', 'Xscape']","['7352aRY2mqSxBZwzUb6LmA', '5z2cHsOmmmWcAPNG1oEhw0']",0.72,-6.11,0.14,0.94,72,203027
